Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Guinea,2995361141,2829435957,2950198649,3446441698,3635458133,2937071767,4220019243,6281917656,6964179194,6716904569,6853467858,6785137173,7638045254,8376613843,8778473615,8794202444
"Gambia, The",782915402.4,687408804.6,578236035.1,487038821.6,961900106.9,1027702254,1054113427,1279704745,1561763437,1450140386,1543292393,1409694554,1415006238,1375608956,1229460602,1378176868
Guinea-Bissau,371095510,392621385.9,417806667.1,477458598.7,532062927.4,587029054.4,592365688.1,696910810.9,868154708.5,830126470,849878424.2,1099818652,989271229.6,1046087418,1054915645,1048229629
Equatorial Guinea,1045998496,1461139022,1806742742,2484745935,4410764339,8217369093,10086528699,13071718759,19749893536,15027795173,16314443429,21357343682,22388344124,21948834290,21765453087,13185496881
Greece,1.30E+11,1.36E+11,1.54E+11,2.02E+11,2.41E+11,2.48E+11,2.73E+11,3.18E+11,3.54E+11,3.30E+11,2.97E+11,2.83E+11,2.42E+11,2.38E+11,2.35E+11,1.95E+11
Grenada,520044370.4,520444185.2,540336925.9,591018407.4,599118592.6,695555555.6,698700666.7,758683592.6,825976037,771275555.6,771013259.3,778655925.9,799882259.3,842620111.1,911497407.4,997007925.9
Greenland,1068030830,1086172923,1169138789,1558753434,1822486689,1849805733,2013099482,2249811709,2499107511,2529948330,2503156061,2684467376,2609667674,2684952727,2842048998,2499115623
Guatemala,19288827159,18405203853,20444205991,21576351799,23577286227,26783543667,29744368111,33567868323,38503862831,37125943565,40676432029,46876114650,49593961142,52996540704,57852399964,62186186576
Guam,,,3394000000,3569000000,3869000000,4213000000,4238000000,4397000000,4658000000,4828000000,4949000000,4984000000,5265000000,5399000000,5610000000,5799000000
Guyana,712667896.7,712167575.6,726131434.7,743064076.8,787814379.2,824880550.3,2379818383,2730968914,3025189399,3165661865,3432913353,3691384743,4063090016,4167801803,4127664336,4279840362
High income,2.76E+13,2.73E+13,2.85E+13,3.20E+13,3.56E+13,3.76E+13,3.97E+13,4.34E+13,4.62E+13,4.33E+13,4.54E+13,4.90E+13,4.91E+13,4.97E+13,5.08E+13,4.80E+13
"Hong Kong SAR, China",1.72E+11,1.69E+11,1.66E+11,1.61E+11,1.69E+11,1.82E+11,1.94E+11,2.12E+11,2.19E+11,2.14E+11,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,3.09E+11
Honduras,7186650135,7651174661,7858235333,8230387552,8869311411,9757034457,10917481688,12361257681,13881701034,14587496229,15839344592,17710315006,18528601901,18499710128,19756494435,20979767785
Heavily indebted poor countries (HIPC),1.70E+11,1.62E+11,1.74E+11,1.97E+11,2.26E+11,2.58E+11,3.06E+11,3.66E+11,4.42E+11,4.49E+11,4.98E+11,5.47E+11,5.76E+11,6.42E+11,6.78E+11,6.66E+11
Croatia,21633759451,23054778851,26813968851,34682900713,41587470547,45376744002,50423077102,60073426977,70234425974,62600093959,59918313669,62537851352,56580819624,58194069434,57639588806,49525747504
Haiti,6868666120,6364908100,6106867934,5000238129,6005401730,7049954289,7408787819,9315973989,10386485528,11269821159,11661585823,13008748132,13708931890,14498080023,14790765760,14857386164
Hungary,47218405892,53749989092,67608919144,85302003908,1.04E+11,1.13E+11,1.16E+11,1.40E+11,1.58E+11,1.31E+11,1.32E+11,1.42E+11,1.28E+11,1.35E+11,1.41E+11,1.25E+11
IBRD only,5.83E+12,5.91E+12,5.99E+12,6.74E+12,8.03E+12,9.60E+12,1.14E+13,1.42E+13,1.70E+13,1.65E+13,2.00E+13,2.36E+13,2.51E+13,2.66E+13,2.75E+13,2.59E+13
IDA & IBRD total,6.30E+12,6.37E+12,6.50E+12,7.30E+12,8.68E+12,1.04E+13,1.23E+13,1.52E+13,1.83E+13,1.78E+13,2.15E+13,2.53E+13,2.69E+13,2.85E+13,2.96E+13,2.80E+13
IDA total,4.69E+11,4.66E+11,5.05E+11,5.64E+11,6.61E+11,7.68E+11,9.26E+11,1.09E+12,1.30E+12,1.29E+12,1.48E+12,1.66E+12,1.79E+12,1.97E+12,2.10E+12,2.09E+12
IDA blend,2.06E+11,2.06E+11,2.27E+11,2.55E+11,3.11E+11,3.72E+11,4.65E+11,5.37E+11,6.36E+11,5.96E+11,7.00E+11,8.04E+11,8.90E+11,9.66E+11,1.04E+12,1.00E+12
